qualification,qualification_name
PhD,"Buisness Administration, Computer Science and Accounting"
Certificate,Finance and Credit
Diploma,Finance and Credit
Bachelor,Finance and Credit
Master,Finance and Credit
PhD,Finance and Credit
Certificate,Economy and Planning
Diploma,Economy and Planning
Bachelor,Economy and Planning
Master,Economy and Planning
PhD,Economy and Planning
Certificate,Marketing and Indonesian
Diploma,Marketing and Indonesian
Bachelor,Marketing and Indonesian
Master,Marketing and Indonesian
PhD,Marketing and Indonesian
Certificate,Traumatherapy
Diploma,Traumatherapy
Bachelor,Traumatherapy
Master,Traumatherapy
PhD,Traumatherapy
Certificate,Business Management and Psychology
Diploma,Business Management and Psychology
Bachelor,Business Management and Psychology
Master,Business Management and Psychology
PhD,Business Management and Psychology
Certificate,Combustion Engineering
Diploma,Combustion Engineering
Bachelor,Combustion Engineering
Master,Combustion Engineering
PhD,Combustion Engineering
Certificate,Automotive Engineering
Diploma,Automotive Engineering
Bachelor,Automotive Engineering
Master,Automotive Engineering
PhD,Automotive Engineering
Certificate,Human Resources Management
Diploma,Human Resources Management
Bachelor,Human Resources Management
Master,Human Resources Management
PhD,Human Resources Management
Certificate,Telecommunications Engineering Technology
Diploma,Telecommunications Engineering Technology
Bachelor,Telecommunications Engineering Technology
Master,Telecommunications Engineering Technology
PhD,Telecommunications Engineering Technology
Certificate,Accounting and Computer Science
Diploma,Accounting and Computer Science
Bachelor,Accounting and Computer Science
Master,Accounting and Computer Science
PhD,Accounting and Computer Science
Certificate,Graphic Design and Advertising
Diploma,Graphic Design and Advertising
Bachelor,Graphic Design and Advertising
Master,Graphic Design and Advertising
PhD,Graphic Design and Advertising
Certificate,Pre-Medicine/Integrated Life Sciences
Diploma,Pre-Medicine/Integrated Life Sciences
Bachelor,Pre-Medicine/Integrated Life Sciences
Master,Pre-Medicine/Integrated Life Sciences
PhD,Pre-Medicine/Integrated Life Sciences
Certificate,Russian Language and Literature
Diploma,Russian Language and Literature
Bachelor,Russian Language and Literature
Master,Russian Language and Literature
PhD,Russian Language and Literature
Certificate,Mass Communication and Media Studies
Diploma,Mass Communication and Media Studies
Bachelor,Mass Communication and Media Studies
Master,Mass Communication and Media Studies
PhD,Mass Communication and Media Studies
Certificate,Change Management
Diploma,Change Management
Bachelor,Change Management
Master,Change Management
PhD,Change Management
Certificate,Industrial Production Technology
Diploma,Industrial Production Technology
Bachelor,Industrial Production Technology
Master,Industrial Production Technology
PhD,Industrial Production Technology
Certificate,Qualified Medical Informatics
Diploma,Qualified Medical Informatics
Bachelor,Qualified Medical Informatics
Master,Qualified Medical Informatics
PhD,Qualified Medical Informatics
Certificate,Information Communication Technology
Diploma,Information Communication Technology
Bachelor,Information Communication Technology
Master,Information Communication Technology
PhD,Information Communication Technology
Certificate,Forestry
Diploma,Forestry
Bachelor,Forestry
Master,Forestry
PhD,Forestry
Certificate,Forest Resources Management
Diploma,Forest Resources Management
Bachelor,Forest Resources Management
Master,Forest Resources Management
PhD,Forest Resources Management
Certificate,Illustration and Graphic Design
Diploma,Illustration and Graphic Design
Bachelor,Illustration and Graphic Design
Master,Illustration and Graphic Design
PhD,Illustration and Graphic Design
Certificate,Management of Hospitality
Diploma,Management of Hospitality
Bachelor,Management of Hospitality
Master,Management of Hospitality
PhD,Management of Hospitality
Certificate,Food & Beverages Division
Diploma,Food & Beverages Division
Bachelor,Food & Beverages Division
Master,Food & Beverages Division
PhD,Food & Beverages Division
Certificate,Advanced Computer Science
Diploma,Advanced Computer Science
Bachelor,Advanced Computer Science
Master,Advanced Computer Science
PhD,Advanced Computer Science
Certificate,Fashion Management and Marketing
Diploma,Fashion Management and Marketing
Bachelor,Fashion Management and Marketing
Master,Fashion Management and Marketing
PhD,Fashion Management and Marketing
Certificate,Advertisement
Diploma,Advertisement
Bachelor,Advertisement
Master,Advertisement
PhD,Advertisement
Certificate,Environmental Chemistry
Diploma,Environmental Chemistry
Bachelor,Environmental Chemistry
Master,Environmental Chemistry
PhD,Environmental Chemistry
Certificate,Analytical Chemistry (Nanochemistry)
Diploma,Analytical Chemistry (Nanochemistry)
Bachelor,Analytical Chemistry (Nanochemistry)
Master,Analytical Chemistry (Nanochemistry)
PhD,Analytical Chemistry (Nanochemistry)
Certificate,Applied Chemistry
Diploma,Applied Chemistry
Bachelor,Applied Chemistry
Master,Applied Chemistry
PhD,Applied Chemistry
Certificate,Cybersecurity
Diploma,Cybersecurity
Bachelor,Cybersecurity
Master,Cybersecurity
PhD,Cybersecurity
Certificate,Software Engeneering
Diploma,Software Engeneering
Bachelor,Software Engeneering
Master,Software Engeneering
PhD,Software Engeneering
Certificate,Data Processing
Diploma,Data Processing
Bachelor,Data Processing
Master,Data Processing
PhD,Data Processing
Certificate,Political Science and International Studies
Diploma,Political Science and International Studies
Bachelor,Political Science and International Studies
Master,Political Science and International Studies
PhD,Political Science and International Studies
Certificate,Management of Information Systems
Diploma,Management of Information Systems
Bachelor,Management of Information Systems
Master,Management of Information Systems
PhD,Management of Information Systems
Certificate,Agricultural Business Operations
Diploma,Agricultural Business Operations
Bachelor,Agricultural Business Operations
Master,Agricultural Business Operations
PhD,Agricultural Business Operations
Certificate,Agricultural Science
Diploma,Agricultural Science
Bachelor,Agricultural Science
Master,Agricultural Science
PhD,Agricultural Science
Certificate,Nurse Anesthetist
Diploma,Nurse Anesthetist
Bachelor,Nurse Anesthetist
Master,Nurse Anesthetist
PhD,Nurse Anesthetist
Certificate,Biological Engineering
Diploma,Biological Engineering
Bachelor,Biological Engineering
Master,Biological Engineering
PhD,Biological Engineering
Certificate,Regenerative Medicine - Cardiac Regeneration
Diploma,Regenerative Medicine - Cardiac Regeneration
Bachelor,Regenerative Medicine - Cardiac Regeneration
Master,Regenerative Medicine - Cardiac Regeneration
PhD,Regenerative Medicine - Cardiac Regeneration
Certificate,Digital Culture & Society
Diploma,Digital Culture & Society
Bachelor,Digital Culture & Society
Master,Digital Culture & Society
PhD,Digital Culture & Society
Certificate,Cultural Anthropology
Diploma,Cultural Anthropology
Bachelor,Cultural Anthropology
Master,Cultural Anthropology
PhD,Cultural Anthropology
Certificate,Neuroscience
Diploma,Neuroscience
Bachelor,Neuroscience
Master,Neuroscience
PhD,Neuroscience
Certificate,"French Studies, History of Art"
Diploma,"French Studies, History of Art"
Bachelor,"French Studies, History of Art"
Master,"French Studies, History of Art"
PhD,"French Studies, History of Art"
Certificate,Corporate / Executive Coaching
Diploma,Corporate / Executive Coaching
Bachelor,Corporate / Executive Coaching
Master,Corporate / Executive Coaching
PhD,Corporate / Executive Coaching
Certificate,Business Workshop Facilitation
Diploma,Business Workshop Facilitation
Bachelor,Business Workshop Facilitation
Master,Business Workshop Facilitation
PhD,Business Workshop Facilitation
Certificate,English Philology
Diploma,English Philology
Bachelor,English Philology
Master,English Philology
PhD,English Philology
Certificate,Building Construction Technology
Diploma,Building Construction Technology
Bachelor,Building Construction Technology
Master,Building Construction Technology
PhD,Building Construction Technology
Certificate,Investment Analysis
Diploma,Investment Analysis
Bachelor,Investment Analysis
Master,Investment Analysis
PhD,Investment Analysis
Certificate,Public Relations and Corporate Communications
Diploma,Public Relations and Corporate Communications
Bachelor,Public Relations and Corporate Communications
Master,Public Relations and Corporate Communications
PhD,Public Relations and Corporate Communications
Certificate,Employment Services
Diploma,Employment Services
Bachelor,Employment Services
Master,Employment Services
PhD,Employment Services
Certificate,Public Relations and Advertising
Diploma,Public Relations and Advertising
Bachelor,Public Relations and Advertising
Master,Public Relations and Advertising
PhD,Public Relations and Advertising
Certificate,Business Studies
Diploma,Business Studies
Bachelor,Business Studies
Master,Business Studies
PhD,Business Studies
Certificate,Applied Software Development
Diploma,Applied Software Development
Bachelor,Applied Software Development
Master,Applied Software Development
PhD,Applied Software Development
Certificate,Computer Engineering
Diploma,Computer Engineering
Bachelor,Computer Engineering
Master,Computer Engineering
PhD,Computer Engineering
Certificate,Computer Hardware
Diploma,Computer Hardware
Bachelor,Computer Hardware
Master,Computer Hardware
PhD,Computer Hardware
Certificate,Fine Arts and Graphic Design
Diploma,Fine Arts and Graphic Design
Bachelor,Fine Arts and Graphic Design
Master,Fine Arts and Graphic Design
PhD,Fine Arts and Graphic Design
Certificate,Manufacturing Engineering Tripos
Diploma,Manufacturing Engineering Tripos
Bachelor,Manufacturing Engineering Tripos
Master,Manufacturing Engineering Tripos
PhD,Manufacturing Engineering Tripos
Certificate,Media Arts
Diploma,Media Arts
Bachelor,Media Arts
Master,Media Arts
PhD,Media Arts
Certificate,Geology/Earth Science
Diploma,Geology/Earth Science
Bachelor,Geology/Earth Science
Master,Geology/Earth Science
PhD,Geology/Earth Science
Certificate,Marketing and Business Administration
Diploma,Marketing and Business Administration
Bachelor,Marketing and Business Administration
Master,Marketing and Business Administration
PhD,Marketing and Business Administration
Certificate,International Business and Project Management
Diploma,International Business and Project Management
Bachelor,International Business and Project Management
Master,International Business and Project Management
PhD,International Business and Project Management
Certificate,Commercial Photography
Diploma,Commercial Photography
Bachelor,Commercial Photography
Master,Commercial Photography
PhD,Commercial Photography
Certificate,"Commercial photography, Photojournalism, Product photography"
Diploma,"Commercial photography, Photojournalism, Product photography"
Bachelor,"Commercial photography, Photojournalism, Product photography"
Master,"Commercial photography, Photojournalism, Product photography"
PhD,"Commercial photography, Photojournalism, Product photography"
Certificate,Elementary/Special Edication
Diploma,Elementary/Special Edication
Bachelor,Elementary/Special Edication
Master,Elementary/Special Edication
PhD,Elementary/Special Edication
Certificate,Risk Management and Finance
Diploma,Risk Management and Finance
Bachelor,Risk Management and Finance
Master,Risk Management and Finance
PhD,Risk Management and Finance
Certificate,Criminal Justice and Law Enforcement Administration
Diploma,Criminal Justice and Law Enforcement Administration
Bachelor,Criminal Justice and Law Enforcement Administration
Master,Criminal Justice and Law Enforcement Administration
PhD,Criminal Justice and Law Enforcement Administration
Certificate,Portuguese Language
Diploma,Portuguese Language
Bachelor,Portuguese Language
Master,Portuguese Language
PhD,Portuguese Language
Certificate,Workplace Wellness and Health Promotion
Diploma,Workplace Wellness and Health Promotion
Bachelor,Workplace Wellness and Health Promotion
Master,Workplace Wellness and Health Promotion
PhD,Workplace Wellness and Health Promotion
Certificate,Electric and Computer Engineering
Diploma,Electric and Computer Engineering
Bachelor,Electric and Computer Engineering
Master,Electric and Computer Engineering
PhD,Electric and Computer Engineering
Certificate,Telecommunication Engineering
Diploma,Telecommunication Engineering
Bachelor,Telecommunication Engineering
Master,Telecommunication Engineering
PhD,Telecommunication Engineering
Certificate,Competition Law
Diploma,Competition Law
Bachelor,Competition Law
Master,Competition Law
PhD,Competition Law
Certificate,Computer Science and Engineering
Diploma,Computer Science and Engineering
Bachelor,Computer Science and Engineering
Master,Computer Science and Engineering
PhD,Computer Science and Engineering
Certificate,Psychology and Sociology
Diploma,Psychology and Sociology
Bachelor,Psychology and Sociology
Master,Psychology and Sociology
PhD,Psychology and Sociology
Certificate,Liberal Arts and Sciences/Liberal Studies
Diploma,Liberal Arts and Sciences/Liberal Studies
Bachelor,Liberal Arts and Sciences/Liberal Studies
Master,Liberal Arts and Sciences/Liberal Studies
PhD,Liberal Arts and Sciences/Liberal Studies
Certificate,Creative Writing
Diploma,Creative Writing
Bachelor,Creative Writing
Master,Creative Writing
PhD,Creative Writing
Certificate,Design and Merchandising
Diploma,Design and Merchandising
Bachelor,Design and Merchandising
Master,Design and Merchandising
PhD,Design and Merchandising
Certificate,"Writing and Poetics, Environmental Studies, Visual Art"
Diploma,"Writing and Poetics, Environmental Studies, Visual Art"
Bachelor,"Writing and Poetics, Environmental Studies, Visual Art"
Master,"Writing and Poetics, Environmental Studies, Visual Art"
PhD,"Writing and Poetics, Environmental Studies, Visual Art"
Certificate,Fine Art
Diploma,Fine Art
Bachelor,Fine Art
Master,Fine Art
PhD,Fine Art
Certificate,Society for Human Resource Management Learning System
Diploma,Society for Human Resource Management Learning System
Bachelor,Society for Human Resource Management Learning System
Master,Society for Human Resource Management Learning System
PhD,Society for Human Resource Management Learning System
Certificate,Sports Management
Diploma,Sports Management
Bachelor,Sports Management
Master,Sports Management
PhD,Sports Management
Certificate,Teaching Biology
Diploma,Teaching Biology
Bachelor,Teaching Biology
Master,Teaching Biology
PhD,Teaching Biology
Certificate,Graphic Communication with Typography
Diploma,Graphic Communication with Typography
Bachelor,Graphic Communication with Typography
Master,Graphic Communication with Typography
PhD,Graphic Communication with Typography
Certificate,"Income Tax, Financial Accounting, Business Study"
Diploma,"Income Tax, Financial Accounting, Business Study"
Bachelor,"Income Tax, Financial Accounting, Business Study"
Master,"Income Tax, Financial Accounting, Business Study"
PhD,"Income Tax, Financial Accounting, Business Study"
Certificate,Film-Making & Creative Media
Diploma,Film-Making & Creative Media
Bachelor,Film-Making & Creative Media
Master,Film-Making & Creative Media
PhD,Film-Making & Creative Media
Certificate,Interactive Design
Diploma,Interactive Design
Bachelor,Interactive Design
Master,Interactive Design
PhD,Interactive Design
Certificate,"Web Page, Digital/Multimedia and Information Resources Design"
Diploma,"Web Page, Digital/Multimedia and Information Resources Design"
Bachelor,"Web Page, Digital/Multimedia and Information Resources Design"
Master,"Web Page, Digital/Multimedia and Information Resources Design"
PhD,"Web Page, Digital/Multimedia and Information Resources Design"
Certificate,Computer Science and Technology
Diploma,Computer Science and Technology
Bachelor,Computer Science and Technology
Master,Computer Science and Technology
PhD,Computer Science and Technology
Certificate,Water Resources Engineering
Diploma,Water Resources Engineering
Bachelor,Water Resources Engineering
Master,Water Resources Engineering
PhD,Water Resources Engineering
Certificate,Writing and Publishing Studies
Diploma,Writing and Publishing Studies
Bachelor,Writing and Publishing Studies
Master,Writing and Publishing Studies
PhD,Writing and Publishing Studies
Certificate,British Sign Language
Diploma,British Sign Language
Bachelor,British Sign Language
Master,British Sign Language
PhD,British Sign Language
Certificate,Mathematical Sciences
Diploma,Mathematical Sciences
Bachelor,Mathematical Sciences
Master,Mathematical Sciences
PhD,Mathematical Sciences
Certificate,School Counseling
Diploma,School Counseling
Bachelor,School Counseling
Master,School Counseling
PhD,School Counseling
Certificate,Management Information Systems and Marketing
Diploma,Management Information Systems and Marketing
Bachelor,Management Information Systems and Marketing
Master,Management Information Systems and Marketing
PhD,Management Information Systems and Marketing
Certificate,Criminal and Child Psychology
Diploma,Criminal and Child Psychology
Bachelor,Criminal and Child Psychology
Master,Criminal and Child Psychology
PhD,Criminal and Child Psychology
Certificate,"Logistics, Materials, and Supply Chain Management"
Diploma,"Logistics, Materials, and Supply Chain Management"
Bachelor,"Logistics, Materials, and Supply Chain Management"
Master,"Logistics, Materials, and Supply Chain Management"
PhD,"Logistics, Materials, and Supply Chain Management"
Certificate,"Political Science, Methods and Models"
Diploma,"Political Science, Methods and Models"
Bachelor,"Political Science, Methods and Models"
Master,"Political Science, Methods and Models"
PhD,"Political Science, Methods and Models"
Certificate,Physician Assistant
Diploma,Physician Assistant
Bachelor,Physician Assistant
Master,Physician Assistant
PhD,Physician Assistant
Certificate,Emergency Medical Technology
Diploma,Emergency Medical Technology
Bachelor,Emergency Medical Technology
Master,Emergency Medical Technology
PhD,Emergency Medical Technology
Certificate,Agricultural Business and Management
Diploma,Agricultural Business and Management
Bachelor,Agricultural Business and Management
Master,Agricultural Business and Management
PhD,Agricultural Business and Management
Certificate,Food Technology and Processing
Diploma,Food Technology and Processing
Bachelor,Food Technology and Processing
Master,Food Technology and Processing
PhD,Food Technology and Processing
Certificate,Internal Auditing
Diploma,Internal Auditing
Bachelor,Internal Auditing
Master,Internal Auditing
PhD,Internal Auditing
Certificate,Accounting and Auditing
Diploma,Accounting and Auditing
Bachelor,Accounting and Auditing
Master,Accounting and Auditing
PhD,Accounting and Auditing
Certificate,Aerospace Engineering
Diploma,Aerospace Engineering
Bachelor,Aerospace Engineering
Master,Aerospace Engineering
PhD,Aerospace Engineering
